developer,game_count,avg_positive_ratio,total_owners,best_game,total_owners_M
CyberConnect2,2,87.0,1850000.0,1391,1.85
CyberConnect2 Co. Ltd.,5,87.8,6450000.0,563,6.45
"CyberConnect2 Co., Ltd.",2,70.6,900000.0,2006,0.9
CyberLight Game Studio,1,82.1,1500000.0,692,1.5
"CyberStep, Inc.",2,61.8,1100000.0,2356,1.1
Cybergrotex,1,56.0,150000.0,9064,0.15
Cyberith GmbH,1,82.4,150000.0,8127,0.15
Cyberlore,1,93.3,350000.0,5314,0.35
"Cygames, Inc.",2,81.8,7000000.0,404,7.0
"Cygames, Inc., Arc System Works",2,82.8,700000.0,3896,0.7
"Cygames, Inc., Grounding Inc.",1,92.7,150000.0,6210,0.15
Cylinder Studios,1,75.0,350000.0,4326,0.35
Czester16,1,47.2,350000.0,3736,0.35
D&A Studios,1,93.1,150000.0,7318,0.15
D'Avekki Studios Ltd,1,76.0,150000.0,8555,0.15
D-Pad Studio,2,87.9,1100000.0,1694,1.1
D.K Studio,1,75.8,150000.0,8886,0.15
D3T,1,88.9,150000.0,8060,0.15
D3T Limited,1,80.8,1500000.0,797,1.5
DANG!,1,95.7,150000.0,8811,0.15
DANKIE,2,64.4,1850000.0,1019,1.85
DARK STAR,1,65.2,150000.0,8821,0.15
DDDimanN,1,88.5,150000.0,6858,0.15
DDNet Team,1,89.3,1500000.0,673,1.5
DESPERATE MEASURES,1,78.3,150000.0,8056,0.15
DESTINYbit,2,68.6,500000.0,4013,0.5
DEVGRU-P,1,94.1,150000.0,8251,0.15
DICE,11,77.1,53600000.0,58,53.6
DIGIFOX,1,71.9,350000.0,5523,0.35
DIMPS,2,91.5,1575000.0,806,1.58
DL Softworks,2,65.6,1850000.0,1317,1.85
DMM GAMES,1,86.2,75000.0,9997,0.08
DNVR Prod,1,75.9,350000.0,3193,0.35
DO MY BEST,2,89.7,700000.0,2763,0.7
DOG HOGGLER,2,76.5,300000.0,8462,0.3
"DOMO Studio, SOFTSTAR ENTERTAINMENT",1,93.4,75000.0,9572,0.08
DON'T NOD,4,85.8,1400000.0,2384,1.4
DONTNOD Entertainment,4,83.9,6500000.0,653,6.5
"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)",2,91.2,22500000.0,91,22.5
"DQ Team, Hidden Hallow Studio",1,76.6,350000.0,4672,0.35
DR Studios,2,62.2,1100000.0,1918,1.1
DRAGO entertainment,2,71.6,1100000.0,1820,1.1
DREAMFEEL,1,90.2,150000.0,7789,0.15
DSGame,10,79.5,2700000.0,2880,2.7
DTP,1,80.2,75000.0,9897,0.08
DU&I,1,97.8,350000.0,3389,0.35
DUCK,1,48.7,350000.0,2791,0.35
DUT Studio,1,91.3,350000.0,5347,0.35
DVS,1,90.1,150000.0,8639,0.15
DVloper,2,92.6,500000.0,4295,0.5
DYA Games,2,87.3,300000.0,7159,0.3
DYNAMICNEXT,2,72.2,300000.0,6512,0.3
Daedalic Entertainment,20,81.3,9300000.0,851,9.3
"Daedalic Entertainment, Irresponsible Games",1,73.1,350000.0,4949,0.35
Daedalic Studio West,1,59.1,150000.0,8059,0.15
Daisu Games,1,40.2,75000.0,9553,0.08
Dale Turner,1,89.5,150000.0,6246,0.15
Dambuster Studios,2,69.1,1500000.0,1783,1.5
Damian Kubiak,1,91.4,350000.0,4231,0.35
Damian Schloter,1,83.5,75000.0,9999,0.08
"Damian Sommer, Emily Carroll",1,82.6,75000.0,9691,0.08
"Dan  Walters, Ceri Williams",1,83.2,750000.0,2558,0.75
Dan Walters,1,84.1,350000.0,5250,0.35
Dancing Dragon Games,3,88.5,1650000.0,2170,1.65
Dandylion,1,94.0,350000.0,2828,0.35
Dani,1,91.5,7500000.0,150,7.5
Daniel Benmergui,1,88.0,350000.0,2892,0.35
"Daniel Benmergui, Jeremías Babini, Hernán Rozenwasser",1,94.1,75000.0,9861,0.08
Daniel Jonathan Bourke,1,79.3,350000.0,5460,0.35
Daniel Linssen,1,97.5,150000.0,5865,0.15
Daniel Mullins Games,3,95.4,4400000.0,468,4.4
Daniel Paul Griffin,1,92.8,150000.0,6259,0.15
Danstarr13,1,47.5,150000.0,8563,0.15
Dapper Penguin Studios,1,73.2,350000.0,3780,0.35
Darjeeling,1,95.8,150000.0,6119,0.15
Dark Blue Games,1,83.7,150000.0,8090,0.15
Dark Crystal Games,1,77.5,350000.0,4243,0.35
Dark Curry S.L.,1,72.7,750000.0,1813,0.75
Dark Day Interactive,1,22.7,350000.0,3802,0.35
Dark Energy Digital Ltd.,1,60.2,350000.0,3601,0.35
Dark Machine Games,1,98.6,150000.0,9280,0.15
Dark Point Games,1,80.2,150000.0,7857,0.15
Dark Water Studios Ltd,1,61.3,150000.0,6862,0.15
DarkBasicSoftwareLimited,1,72.7,750000.0,2682,0.75
DarkStone Digital,1,92.2,350000.0,3101,0.35
Darkelite Studio Inc,1,80.3,150000.0,6445,0.15
Darkflow Software,1,79.9,1500000.0,1412,1.5
"Darkflow Software, Matter Team",1,78.8,3500000.0,295,3.5
Darkling Room,1,82.6,75000.0,9393,0.08
Darkmatter Games,1,88.3,150000.0,6377,0.15
Darkpaw Games,2,80.0,1500000.0,1502,1.5
Darksun Studio,1,73.9,750000.0,2450,0.75
Darktree Game Studio,1,72.9,75000.0,9438,0.08
Darkworks,1,83.8,75000.0,9600,0.08
DarxDev,1,76.8,350000.0,3569,0.35
"Dasius, Noble Games Studio",1,71.8,150000.0,7772,0.15
Data Realms,1,71.7,1500000.0,1290,1.5
Date Nighto,1,92.9,150000.0,9212,0.15
David Amador,1,75.3,350000.0,5452,0.35
David Kaleta,1,88.4,75000.0,9721,0.08
David Moralejo Sánchez,2,92.8,1650000.0,1410,1.65
David Mulder,1,60.8,750000.0,2322,0.75
David OReilly,2,85.6,900000.0,2321,0.9
David Schneider,1,84.2,350000.0,3844,0.35
David Stark,1,95.9,350000.0,3444,0.35
David Szymanski,5,88.4,2700000.0,727,2.7
David Wehle,1,75.3,350000.0,4815,0.35
David Williamson,1,52.1,75000.0,9708,0.08
Day 1 Studios,1,71.1,1500000.0,1029,1.5
Daybreak Game Company,5,56.4,24500000.0,77,24.5
Daylight Studios,2,69.2,225000.0,6328,0.22
Days of Wonder,4,74.8,1600000.0,2171,1.6
DazlogStudio,1,82.8,75000.0,9959,0.08
DeCoded Production,1,92.2,150000.0,7033,0.15
DeGenerals S.A.,1,88.4,750000.0,2465,0.75
DeXP,2,72.2,300000.0,6664,0.3
Dead Drop Studios LLC,1,60.8,150000.0,7851,0.15
Dead Mage,1,88.8,1500000.0,1362,1.5
Dead Thread Games,1,85.5,350000.0,3199,0.35
DeadDevsTellNoLies,1,94.9,3500000.0,308,3.5
DeadToast Entertainment,1,95.7,1500000.0,1151,1.5
Deadpan Games,1,85.6,350000.0,3113,0.35
"Deadpan Games, Gaziter",1,82.4,750000.0,2423,0.75
Decaying Logic,1,34.5,350000.0,5643,0.35
Decent Machine,1,80.7,150000.0,6825,0.15
"Deceptive Games, Gavin Powell",1,56.2,150000.0,6089,0.15
Deck 13,1,63.5,150000.0,8150,0.15
Deck Nine,4,84.4,1600000.0,1844,1.6
Deck Nine Games,1,68.5,150000.0,6684,0.15
"Deck Nine, Feral Interactive (Mac), Feral Interactive (Linux)",1,93.3,3500000.0,616,3.5
Deck13,5,74.1,2825000.0,837,2.82
Deck13 Hamburg,2,64.4,300000.0,5988,0.3
Deconstructeam,3,86.1,1450000.0,2196,1.45
Dee Dee Creations LLC,1,88.0,150000.0,6046,0.15
Deep Field Games,1,96.4,750000.0,1589,0.75
Deep Silver Fishlabs,1,82.9,350000.0,4303,0.35
Deep Silver Volition,2,73.2,8250000.0,220,8.25
"Deep Silver Volition, High Voltage Software",1,75.3,750000.0,1475,0.75
Deep Type Games,1,85.2,350000.0,3339,0.35
Deep Water Studio,1,84.1,750000.0,2329,0.75
Defiant Development,2,86.8,1100000.0,1853,1.1
Define Human Studios,1,50.6,1500000.0,1219,1.5
Defold Foundation,1,87.1,150000.0,8210,0.15
"Dejobaan Games, LLC",3,82.1,650000.0,5499,0.65
"Dejobaan Games, LLC, Owlchemy Labs",1,74.2,350000.0,3306,0.35
Dekovir Entertainment,1,88.5,750000.0,1728,0.75
Delayed Victory,1,90.5,350000.0,5641,0.35
Deli Interactive LLC,1,86.8,750000.0,1861,0.75
Delirium Tremens Games,1,88.4,75000.0,9802,0.08
Delphine Software,1,78.1,75000.0,9493,0.08
DelusionArt Studio,1,85.2,150000.0,8259,0.15
Delusional Games,2,35.8,1100000.0,2340,1.1
Demagog Studio,1,81.2,350000.0,3323,0.35
"Demibug, SUPER PICKLE GAMES",1,82.0,150000.0,8234,0.15
Demonsomnia Team,1,33.8,75000.0,9911,0.08
DenchiSoft,1,92.8,1500000.0,1206,1.5
Denis Galanin (mif2000),2,64.0,700000.0,5410,0.7
Denki,1,89.5,350000.0,3607,0.35
Dennaton Games,2,95.6,7000000.0,317,7.0
Desert Fox,2,87.0,300000.0,7753,0.3
Desert Owl Games LLC,2,74.4,500000.0,3190,0.5
Desertkun,1,82.0,1500000.0,1132,1.5
DeskDev Team,1,69.1,75000.0,9569,0.08
DesktopMMD Team,1,73.6,350000.0,5031,0.35
DesktopPaints LLC,1,72.5,150000.0,7188,0.15
Destined Team,1,65.0,75000.0,9563,0.08
Destructive Creations,3,78.9,2325000.0,1339,2.33
Detach Entertainment,1,86.1,1500000.0,1162,1.5
Devcats,1,99.4,150000.0,9323,0.15
Devdan Games,2,61.4,500000.0,5689,0.5
Devespresso Games,1,65.4,150000.0,7339,0.15
Devil's Details,2,89.6,1500000.0,1511,1.5
DevilishGames,1,66.7,150000.0,7791,0.15
Dharker Studios,1,80.0,150000.0,5938,0.15
DiP Online,1,54.9,350000.0,3921,0.35
Diatomic Studios,1,86.4,350000.0,3684,0.35
Dicesuki,1,96.3,350000.0,4131,0.35
Die of Death Games,1,82.3,750000.0,1937,0.75
Dieselmine,3,90.9,1050000.0,3126,1.05
DiezelPower,2,83.8,500000.0,5005,0.5
Different Tales,1,83.1,350000.0,5067,0.35
DigX Studios,1,85.2,350000.0,3988,0.35
Digerati Distribution,1,68.3,150000.0,7773,0.15
DiggerGames,1,48.7,350000.0,3202,0.35
DigiFX Interactive,1,90.8,150000.0,8381,0.15
DigiTales Interactive,2,91.4,1500000.0,2248,1.5
Digital Cybercherries,2,77.4,900000.0,2382,0.9
Digital Dawn Studios,2,63.6,225000.0,8054,0.22
Digital Eclipse,3,80.6,650000.0,3034,0.65
Digital Eel,1,65.5,150000.0,5914,0.15
Digital Extremes,3,84.9,39250000.0,15,39.25
Digital Furnace Games,1,38.9,150000.0,8699,0.15
Digital Happiness,3,77.1,850000.0,3394,0.85
Digital Leisure Inc.,3,73.0,1175000.0,2415,1.18
Digital Life 数字生命,1,74.9,150000.0,8956,0.15
Digital Melody,5,86.3,1950000.0,2007,1.95
Digital Mosaic Games,1,85.6,75000.0,9729,0.08
Digital Reality,2,85.0,300000.0,6236,0.3
Digital Reality Software & Playbox,1,82.1,75000.0,9963,0.08
"Digital Reality, Grasshopper Manufacture, Gyroscope Games",1,65.5,75000.0,9407,0.08
"Digital Reality, Gyroscope Games",1,87.1,150000.0,6577,0.15
Digital Sun,3,85.8,4200000.0,599,4.2
Digital Tentacle,1,88.9,150000.0,8013,0.15
DigitalDNA Games,1,80.8,750000.0,2084,0.75
DigitalDNA Games LLC,1,71.9,150000.0,8238,0.15
Digitality Games,1,66.2,150000.0,6420,0.15
Digitalmindsoft,4,71.1,4100000.0,1085,4.1
Digixart,2,79.9,900000.0,2311,0.9
Dillon Earle,1,95.2,350000.0,4353,0.35
"Dillon Rogers, David Szymanski, Nate Berens, Thomas Porta",1,95.3,750000.0,2673,0.75
Dimension 32 Entertainment,1,76.9,750000.0,2364,0.75
Dimensional Ink Games,1,80.5,1500000.0,775,1.5
Dimfrost Studio,1,95.0,350000.0,4331,0.35
Diminished Studios,1,60.5,750000.0,2390,0.75
Dimitri Kipper,1,95.1,75000.0,9420,0.08
Dimps Corporation,3,65.0,2000000.0,1299,2.0
"Dinamic Games, Imperivm World",1,67.6,150000.0,6206,0.15
Dingaling Productions,1,95.6,750000.0,2052,0.75
Dingo Games,2,91.2,225000.0,8778,0.22
Dinosaur Polo Club,2,96.2,1500000.0,1558,1.5
Dionic Software,2,80.2,225000.0,7637,0.22
Dird Games,1,89.3,150000.0,7937,0.15
Dire Wolf,5,81.4,1750000.0,1759,1.75
Directive Games Limited,1,59.1,350000.0,3928,0.35
Disparity Games,1,80.6,150000.0,8264,0.15
Disquire,1,78.3,150000.0,6946,0.15
"Divergent Realities, LLC",1,88.9,150000.0,8469,0.15
Divine Games,1,87.1,1500000.0,1249,1.5
Dlala Studios,1,68.2,150000.0,8149,0.15
Dmitry Medvedev,1,64.5,150000.0,7844,0.15
Dmitry Zheltobriukhov,1,94.8,150000.0,6899,0.15
Dmytry Lavrov,1,72.5,150000.0,7435,0.15
DnS Development,1,47.4,150000.0,9318,0.15
Doble Punch Games,2,74.0,225000.0,9089,0.22
Doborog Games,2,92.3,1850000.0,1296,1.85
Doctor Entertainment AB,2,82.2,1650000.0,769,1.65
Doctor Shinobi,1,97.3,750000.0,2475,0.75
Dodge Roll,2,89.3,3650000.0,259,3.65
"Dodge Roll, Singlecore",1,75.3,350000.0,4065,0.35
Doghowl Games,1,54.2,150000.0,7143,0.15
Dogubomb,1,87.0,350000.0,4425,0.35
Dohi Sweden AB,1,78.5,350000.0,4505,0.35
Dojin Otome,2,95.2,1850000.0,1386,1.85
Domas Sabockis,1,47.8,150000.0,8868,0.15
Domesticated Ant Games,1,94.5,150000.0,6126,0.15
Dominique Grieshofer,2,95.8,500000.0,3405,0.5
Don VS Dodo,1,51.2,150000.0,8191,0.15
Don Wilkins,1,80.9,150000.0,7882,0.15
Donkey Crew,2,71.4,2250000.0,1202,2.25
Doom Turtle,1,93.9,750000.0,2548,0.75
Doomster Entertainment,2,75.8,300000.0,6547,0.3
Door 407,2,89.3,425000.0,2974,0.42
"Doot, Blibloop, Zakku",1,97.8,350000.0,4651,0.35
Dope Games,1,74.3,350000.0,4754,0.35
DopplerFrog,1,84.4,75000.0,9800,0.08
Dorado Games,1,76.7,350000.0,3015,0.35
Dosane Games,1,73.8,150000.0,6260,0.15
Dotemu,4,85.9,2075000.0,868,2.08
"Dotemu, Guard Crush, Lizardcube",1,92.8,750000.0,1523,0.75
"Double Action Factory, Jorge Rodriguez",1,93.1,1500000.0,1324,1.5
Double Coconut,1,48.4,350000.0,3074,0.35
Double Cross,1,94.4,1500000.0,1076,1.5
Double Dagger Studio,1,96.5,350000.0,3703,0.35
Double Damage Games,2,74.5,900000.0,2199,0.9
Double Eleven,1,63.9,150000.0,6836,0.15
"Double Eleven, Q-Games Ltd.",2,85.2,500000.0,3471,0.5
Double Fine Productions,13,80.6,8575000.0,544,8.57
"Double Fine Productions, Shiny Shoe",3,93.2,1850000.0,2553,1.85
Double Helix Games,2,54.9,700000.0,4467,0.7
"Double Helix Games, Capcom",1,80.4,750000.0,2387,0.75
Double W,5,88.8,1350000.0,4154,1.35
DoubleBear Productions,1,73.3,150000.0,6271,0.15
DoubleBee,1,89.5,750000.0,1652,0.75
DoubleDutch Games,1,94.0,3500000.0,467,3.5
DoubleMoose Games,1,82.4,350000.0,3243,0.35
DoubleThink Studio,1,35.5,150000.0,6227,0.15
Doublehit Games,1,83.5,150000.0,6986,0.15
Douze Dixièmes,1,94.5,75000.0,9458,0.08
Dovetail Games,6,75.6,3250000.0,717,3.25
Downpour Interactive,1,68.7,750000.0,2298,0.75
Dracula Bytes,1,83.4,150000.0,6456,0.15
Drago Entertainment,1,40.9,75000.0,9490,0.08
DragonSnow,1,86.8,750000.0,1541,0.75
Dragonfly,1,79.0,750000.0,2678,0.75
"Dragonfly GF Co., LTD",1,71.1,3500000.0,475,3.5
Dragonrise Games,1,92.4,750000.0,1456,0.75
Drakeling Labs,1,76.9,3500000.0,587,3.5
Drakkar Dev,1,77.0,150000.0,6801,0.15
Draknek & Friends,1,95.3,150000.0,7036,0.15
Dramatic Labs,1,90.1,150000.0,6625,0.15
Draw Distance,3,78.6,1800000.0,1345,1.8
Draw Me A Pixel,2,97.4,1100000.0,2258,1.1
Dread Hunger Team,1,60.3,1500000.0,1236,1.5
"DreadXP, David Szymanski, Christopher Yabsley, KIRA, Philisophic Games, Dan McGrath, TorpleDook, Abbey 'Scruncho' Smith, Vidas Salavejus, Redact Games, Wayward Preacher, Mr. Pink, Aaron Wise",1,90.4,150000.0,8292,0.15
Dreadbit,2,75.8,300000.0,8220,0.3
Dreadlocks Ltd.,1,87.0,150000.0,7461,0.15
Dream Execution,1,59.4,350000.0,3648,0.35
"Dream Operator, Oksana Bula",1,97.5,350000.0,5050,0.35
Dream Reactor,1,74.3,150000.0,6184,0.15
Dream Works,1,77.9,350000.0,3699,0.35
Dream.Machine,1,83.0,350000.0,3406,0.35
DreamBig,1,50.7,150000.0,7778,0.15
DreamEscape,1,65.9,150000.0,5920,0.15
DreamGate,1,74.9,150000.0,8995,0.15
DreamPunks,1,61.3,350000.0,3311,0.35
DreamStep,1,80.2,150000.0,8409,0.15
Dreamate,1,82.1,75000.0,9733,0.08
Dreambyte Games,1,90.8,750000.0,2396,0.75
Dreamirl,1,79.9,150000.0,8516,0.15
Dreamlit inc.,1,68.6,150000.0,6812,0.15
Dreampainters,1,61.1,150000.0,5721,0.15
Dreamside Interactive,1,65.5,350000.0,4551,0.35
Dreamsite Games,2,80.2,1850000.0,1398,1.85
Dreamworlds,1,89.8,350000.0,4520,0.35
Drift Physics Crew,1,82.0,350000.0,3235,0.35
Drinkbox Studios,3,92.3,8600000.0,121,8.6
Drive Beyond Horizons,1,80.9,150000.0,5965,0.15
Drixy Games,1,67.8,350000.0,3965,0.35
Drool,1,91.8,350000.0,4597,0.35
Dry Cactus,3,94.3,1250000.0,1484,1.25
DryGin Studios,1,89.2,150000.0,7420,0.15
"Dual Effect, Abstract Digital",1,91.0,750000.0,2603,0.75
Duality Games,2,87.0,500000.0,3018,0.5
"Duality Games, Glob Games Studio",1,68.7,150000.0,7462,0.15
"Duality Games, Spirit Games Studio",1,77.4,150000.0,8832,0.15
Duhndal,1,91.4,3500000.0,662,3.5
Duion,1,53.2,350000.0,3146,0.35
"Dumativa, Castro Brothers",1,96.6,350000.0,4310,0.35
"Dumativa, Cellbit",1,96.8,350000.0,3651,0.35
DuoDuoDog,1,37.0,350000.0,3448,0.35
Duoyi,1,67.7,150000.0,6254,0.15
Duoyi Games,2,90.0,3650000.0,481,3.65
"Durven Studios, BrazMonkey Studio",1,96.4,350000.0,4741,0.35
DuskDogStudio,1,87.9,150000.0,6853,0.15
"Dvora Studio Co., Ltd.",1,84.3,150000.0,8480,0.15
DyingCat,1,83.2,350000.0,4285,0.35
Dylan Fitterer,3,86.4,2000000.0,1120,2.0
Dylan White,1,92.6,350000.0,5456,0.35
Dymchick1,1,63.4,350000.0,4756,0.35
Dynamic Media Triad,1,92.8,150000.0,6856,0.15
Dynamic Pixels,5,85.5,2550000.0,1819,2.55
E-Line Media,1,88.4,350000.0,5026,0.35
EA - Maxis,1,89.1,750000.0,1688,0.75
"EA - Maxis, Aspyr (Mac)",1,81.9,750000.0,2572,0.75
EA Black Box,1,75.3,1500000.0,1278,1.5
EA Canada,1,76.2,1500000.0,754,1.5
EA Canada &amp; EA Romania,2,68.7,11000000.0,99,11.0
"EA Canada, EA Romania",2,53.8,15000000.0,134,15.0
EA Los Angeles,6,75.1,4250000.0,980,4.25
EA Redwood Shores,1,91.8,3500000.0,618,3.5
ECC GAMES,1,72.6,150000.0,6751,0.15
EGAMER,14,71.2,3150000.0,2243,3.15
EJRGames,1,84.3,150000.0,6756,0.15
EM Games,1,56.3,150000.0,8397,0.15
EMIKA_GAMES,2,88.8,300000.0,7115,0.3
ENTERi,2,79.2,900000.0,1962,0.9
EQ Studios,1,91.1,750000.0,2561,0.75
ESEA,1,73.1,1500000.0,1449,1.5
"ESQUADRA,inc., RideonJapan",1,75.3,150000.0,9059,0.15
ESTgames Corp.,1,68.1,350000.0,3035,0.35
EVGA,1,80.3,750000.0,1699,0.75
EXAMU,1,90.5,150000.0,7436,0.15
EXOR Studios,3,92.5,2200000.0,990,2.2
EXPERIMENT ONE,1,92.8,350000.0,4620,0.35
EYEFRONT,1,69.4,150000.0,8305,0.15
Eagle Dynamics SA,1,85.1,7500000.0,225,7.5
Early Morning Studio,2,77.8,300000.0,6958,0.3
EarthWork Games,1,92.0,1500000.0,1182,1.5
Earthbound Games Ltd.,1,67.4,150000.0,7630,0.15
Earthshine,1,90.9,750000.0,2397,0.75
East Side Games,1,79.2,350000.0,4500,0.35
Eastshade Studios,2,85.3,225000.0,8860,0.22
Easy Day Studios Pty Ltd,1,85.9,1500000.0,1252,1.5
Easy game,4,81.6,3350000.0,1143,3.35
EasyAntiCheat Ltd,1,80.6,1500000.0,1228,1.5
EasyGameStation,2,85.8,1100000.0,2422,1.1
EasyWays Team,1,68.6,350000.0,3908,0.35
Eat Create Sleep,1,68.1,350000.0,3110,0.35
Ebb Software,1,76.7,1500000.0,1241,1.5
Echo Entertainment,1,79.9,150000.0,7352,0.15
Echo Hall Studios,1,68.9,350000.0,3977,0.35
Echtra Inc.,1,46.5,750000.0,1526,0.75
Eclipse Games,1,59.0,75000.0,9573,0.08
Ed Del Castillo,1,87.5,350000.0,3996,0.35
"Ed Farage, Bubu",1,70.9,150000.0,8732,0.15
Ed Key and David Kanaga,1,75.8,350000.0,4422,0.35
Edelweiss,3,88.4,850000.0,3821,0.85
Eden Industries,2,79.5,500000.0,3061,0.5
Edge of Reality,1,87.0,7500000.0,213,7.5
Ediogames,1,79.3,350000.0,5255,0.35
"Edmund McMillen, Florian Himsl",1,94.9,1500000.0,813,1.5
"Edmund McMillen, James Id",1,74.7,150000.0,6103,0.15
"Edmund McMillen, James Interactive, Ridiculon",1,80.9,1500000.0,1370,1.5
"Edmund McMillen, Tyler Glaiel",2,89.9,500000.0,3225,0.5
Eduard Kozadaev,3,86.4,1050000.0,2663,1.05
Edym Pixels,1,88.5,150000.0,6106,0.15
"Eek! Games, LLC",1,86.2,1500000.0,1292,1.5
"Eerie Guest, tinyBuild",3,83.2,650000.0,3857,0.65
EffectMatrix,1,56.4,150000.0,7456,0.15
Efkey Studios,1,93.4,150000.0,7923,0.15
Eforb,2,44.2,900000.0,1629,0.9
EggNut,1,96.8,350000.0,3064,0.35
Eggcode,2,92.3,1500000.0,2441,1.5
Eggnut,1,67.0,1500000.0,1322,1.5
Eggtooth Team,1,46.6,350000.0,5504,0.35
"Egidijus Bachur, Alexey Davydov",2,75.6,700000.0,4366,0.7
"Egor Magurin, Eugene Radaev",1,60.3,350000.0,5150,0.35
Egor Olegovich Yakovlev,1,77.7,150000.0,7649,0.15
Egosoft,7,73.4,4600000.0,888,4.6
Eidos Interactive,1,77.9,750000.0,2250,0.75
Eidos Montreal,3,61.7,3800000.0,576,3.8
"Eidos Montreal, Feral Interactive (Linux/Mac)",1,76.0,3500000.0,574,3.5
Eidos Studio Hungary,1,71.3,350000.0,2982,0.35
Eidos-Montréal,1,94.1,750000.0,1828,0.75
"Eidos-Montréal, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)",1,83.9,3500000.0,621,3.5
"Eidos-Montréal, Feral Interactive (Mac)",1,74.5,1500000.0,702,1.5
Eight Points,1,68.5,350000.0,2752,0.35
EightyEightGames,2,86.2,500000.0,5585,0.5
Eko Software,5,66.6,3300000.0,917,3.3
Ekuator Games,1,69.8,150000.0,9113,0.15
Elder Games,2,46.9,225000.0,6122,0.22
Eldin Turulja,1,90.4,150000.0,9348,0.15
Eldritch Sword Games,1,92.7,150000.0,9319,0.15
Elecorn,1,79.6,350000.0,3012,0.35
Electric Hat Games LLC.,1,87.0,150000.0,8249,0.15
Electric Succubi,1,84.5,150000.0,7612,0.15
Electronic Arts,3,65.6,3350000.0,768,3.35
Electronic Arts - Tiburon,1,52.7,350000.0,3341,0.35
Electrovore,1,80.7,750000.0,2671,0.75
Element Game 微元游戏,1,61.7,350000.0,4076,0.35
Element Studios,1,89.6,350000.0,4510,0.35
Eleon Game Studios,1,78.8,1500000.0,1150,1.5
Elephant Games,3,60.2,450000.0,6604,0.45
Eleven Puzzles,1,91.1,150000.0,8448,0.15
Eleventh Hour Games,1,79.6,35000000.0,35,35.0
"Elf Games, Luna2 Studio",1,87.1,150000.0,8272,0.15
Elias Steurer (Kelteseth) Tachiom,1,81.0,350000.0,3782,0.35
Elijah Newman-Gomez,1,68.4,750000.0,1784,0.75
Elite Games Team,1,80.3,150000.0,6652,0.15
Elixir Studios,1,93.3,350000.0,3850,0.35
Ellie's Lunchbox,1,82.5,75000.0,9402,0.08
"Elseware Experience, Benoit Dereau, Mael Vignaux",1,73.6,150000.0,7173,0.15
Elven Workshop,1,70.3,150000.0,5971,0.15
Emad,1,93.2,150000.0,7464,0.15
Ember Lab,1,92.1,1500000.0,1437,1.5
Emberfish Games,1,89.6,150000.0,9143,0.15
Embers,1,89.0,350000.0,4779,0.35
Emberstorm Entertainment,1,84.1,150000.0,7652,0.15
Emilios Manolidis,1,68.6,75000.0,9414,0.08
Empires,1,86.6,750000.0,1867,0.75
Empty Clip Studios,2,72.2,300000.0,6052,0.3
Empyrean,1,94.2,3500000.0,264,3.5
Endava,1,55.1,150000.0,8224,0.15
Endless Loop Studios,3,80.3,650000.0,4916,0.65
Endless Project Games,1,50.3,350000.0,4976,0.35
Endless Suffering,1,84.9,150000.0,7920,0.15
Endlessfluff Games,2,84.6,500000.0,4130,0.5
Endnight Games Ltd,2,91.6,50000000.0,29,50.0
Endorphin Studios,1,54.3,150000.0,8432,0.15
"Engine Software, Ubisoft Montreal, Ubisoft Chengdu, Ubisoft Pune Production",1,75.4,350000.0,5037,0.35
Enitvare,2,74.0,300000.0,7598,0.3
Enki,1,83.9,150000.0,6430,0.15
Ensemble Studios,2,91.2,4250000.0,444,4.25
"Ensemble Studios, Behaviour Interactive, 343 Industries",1,91.1,750000.0,2049,0.75
EnsenaSoft,4,54.9,525000.0,8326,0.52
Entertainment Forge,2,87.6,700000.0,3288,0.7
Entrada Interactive LLC,1,66.0,350000.0,2824,0.35
"Entwell Co., Ltd.",1,70.8,750000.0,1924,0.75
Envision Entertainment,1,84.5,350000.0,2822,0.35
Ephemeral Interaction,1,85.8,150000.0,6830,0.15
"Epic Games, Inc.",5,87.5,4450000.0,1055,4.45
ErayTek,1,76.3,350000.0,5534,0.35
Eremite Games,1,95.0,750000.0,1500,0.75
"Eric Chahi, DotEmu",1,83.0,150000.0,8472,0.15
"Eric Hartman, Ben Garney, Anthony Rotondo",1,73.1,750000.0,2649,0.75
"Eric Ruts, Jacob Kooiman",1,67.9,1500000.0,866,1.5
Eridanus Industries,1,82.4,350000.0,4025,0.35
Erik Asmussen,3,91.5,850000.0,3222,0.85
Erik Rempen,1,79.1,75000.0,9706,0.08
"Erik Svedäng, El Huervo / Niklas Åkerblad, Tobias Sjögren, Oscar ""Ratvader"" Rydelius, Johannes Gotlén",1,67.2,350000.0,3886,0.35
"Escalation Studios, Four Quarters",1,82.6,150000.0,5933,0.15
Estelion,1,65.0,150000.0,8314,0.15
Estoty,1,86.1,350000.0,4703,0.35
Eternal Dream,1,97.5,750000.0,2265,0.75
Eternal Night Studios,1,89.8,350000.0,5137,0.35
EternalShadow Studios,1,80.8,75000.0,9834,0.08
Eternity Studios,1,55.0,350000.0,3892,0.35
Ethrea Dreams,1,68.7,150000.0,8486,0.15
Eugen Systems,8,80.7,5150000.0,799,5.15
Eugene Zubko,1,90.7,150000.0,5744,0.15
Euphoric Brothers,5,59.4,1150000.0,2846,1.15
