developer,game_count,avg_positive_ratio,total_owners,best_game,total_owners_M
AQUIRIS,1,93.0,350000.0,4491,0.35
AQURIA,1,79.2,350000.0,3238,0.35
"AQURIA Co., Ltd.",2,69.4,500000.0,4496,0.5
ARC SYSTEM WORKS,1,78.0,150000.0,7045,0.15
ARPSEL,1,76.7,150000.0,7908,0.15
ARTDINK,1,63.0,750000.0,1975,0.75
ASK Homework,1,40.1,750000.0,1883,0.75
ASTRO PORT,1,75.5,150000.0,9117,0.15
ASTRUM LAB,1,64.9,350000.0,4747,0.35
ATC Games,1,80.4,150000.0,8496,0.15
ATICO,1,91.1,150000.0,6497,0.15
ATLUS,10,88.1,11050000.0,637,11.05
AURORA Games,1,58.2,150000.0,8330,0.15
AXC GAMES,1,44.8,350000.0,4649,0.35
AZGames,1,97.4,75000.0,9866,0.08
"Aardman Animations, Digixart",1,85.9,150000.0,6197,0.15
"Aardman Animations, Mobile Pie, Black Smoke Studios",1,95.8,75000.0,9521,0.08
"Aarne ""MekaSkull"" Hunziker",1,83.8,350000.0,5437,0.35
Aaron Oldenburg,1,54.6,75000.0,9932,0.08
Abbey Games,3,88.4,1175000.0,1758,1.18
Above and Beyond Technologies,1,42.7,150000.0,8144,0.15
Abraham Carreola,1,39.1,150000.0,5728,0.15
Abrakam Entertainment SA,2,83.7,1100000.0,1798,1.1
Absolut Soft LLC,1,67.3,750000.0,1517,0.75
Absolutist Ltd.,2,59.3,300000.0,6559,0.3
AbstractArt,1,88.2,350000.0,2780,0.35
Abstraction Games,2,64.0,300000.0,6646,0.3
"Abstraction Games, The Bitmap Brothers",1,67.6,150000.0,8473,0.15
"Abstraction Games, WayForward",1,68.6,150000.0,7076,0.15
Abyte Entertainment,1,85.3,350000.0,3960,0.35
Ac Games,1,37.6,750000.0,2523,0.75
"Acceleroto, Inc.",1,90.2,150000.0,7421,0.15
Access Games,1,80.5,150000.0,8464,0.15
Access Software,1,96.6,75000.0,9672,0.08
Accidental Queens,1,88.9,150000.0,9127,0.15
Acclaim Studios Teesside,1,91.3,150000.0,7142,0.15
Acerola,4,84.9,800000.0,4453,0.8
Achenar Studios,1,87.9,75000.0,9942,0.08
Acid Nerve,2,86.2,1500000.0,1566,1.5
Acid Wizard Studio,1,95.0,1500000.0,1004,1.5
Acido Cinza,1,78.1,350000.0,3479,0.35
Acke Hallgren,1,94.8,350000.0,3583,0.35
Ackk Studios,1,78.3,150000.0,6817,0.15
Acme Gamestudio,1,79.6,150000.0,5757,0.15
Actalogic,2,42.6,300000.0,7414,0.3
Action Squad Studios,1,72.6,150000.0,6369,0.15
Action Square(STUDIO HG),1,85.4,350000.0,4872,0.35
Active Fungus Studios,1,79.2,350000.0,5285,0.35
Actoz Soft,1,57.6,150000.0,8076,0.15
Acureus,1,84.0,1500000.0,779,1.5
Acute Games,1,66.3,350000.0,5483,0.35
Acuze Interactives,2,33.5,300000.0,7372,0.3
Adam DeLease,1,43.7,75000.0,9631,0.08
Adamvision Studios,3,95.6,1250000.0,2430,1.25
"Adglobe, Live Wire",1,95.6,350000.0,3812,0.35
"Adi Zhavo, Project 99 Games",1,84.1,150000.0,7157,0.15
Adobe,3,84.8,650000.0,5265,0.65
Advanced Games B,1,69.0,150000.0,6997,0.15
Adventurepro Games LLC,1,91.3,150000.0,7570,0.15
Aehmttw (Matei Budiu),1,94.0,150000.0,6434,0.15
Aesir Interactive,1,77.8,1500000.0,1126,1.5
Aestronauts,1,79.1,150000.0,9356,0.15
Aeternum Game Studios S.L,1,76.3,150000.0,9368,0.15
Aether Studios,2,88.8,1850000.0,1077,1.85
Affray Interactive,1,80.3,750000.0,2533,0.75
Aftabi Games,1,67.7,150000.0,8876,0.15
Afterburn,2,96.2,300000.0,6889,0.3
Afterburner Studios,2,88.7,700000.0,3805,0.7
Afterthought LLC,1,81.4,750000.0,1518,0.75
Agafonoff,4,83.4,2200000.0,1778,2.2
Aggro Crab,2,92.6,700000.0,4050,0.7
Agharta Studio,1,84.7,150000.0,7304,0.15
Aikesi,1,95.4,350000.0,4818,0.35
Airdorf Games,1,95.5,350000.0,4167,0.35
Airship Syndicate,4,79.3,3350000.0,1170,3.35
Airtight Games,2,85.1,1850000.0,1201,1.85
Akaba Studio,1,92.8,1500000.0,1237,1.5
Akabaka,2,98.3,300000.0,6998,0.3
