publisher,game_count,total_owners,avg_positive_ratio,total_reviews,avg_price_eur,peak_ccu,total_owners_M
Psyonix LLC,1,15000000.0,87.4,583220,0.0,21106,15.0
Owlcat Games,1,15000000.0,85.6,30805,49.99,3582,15.0
Scott Cawthon,8,15000000.0,92.7,201553,4.62,200,15.0
Megame LLC,1,15000000.0,82.6,322,14.99,3,15.0
TLM Partners,1,15000000.0,67.6,142763,0.0,0,15.0
TVGS,1,15000000.0,98.4,204041,19.99,22757,15.0
Kinetic Games,1,15000000.0,95.8,768779,19.99,9978,15.0
TCH Scarlet Limited,1,15000000.0,74.5,99837,0.0,0,15.0
The Indie Stone,1,15000000.0,94.2,377063,19.99,22864,15.0
"Activision (Excluding Japan and Asia), FromSoftware, Inc. (Japan), 方块游戏 (Asia)",1,15000000.0,95.3,322234,59.99,6767,15.0
The Fun Pimps Entertainment LLC,1,15000000.0,88.6,370046,44.99,17045,15.0
"LucasArts, Lucasfilm, Disney",24,14950000.0,83.9,154389,11.07,2818,14.95
Kalypso Media Digital,32,14800000.0,68.9,70903,10.88,97,14.8
Nacon,38,14375000.0,70.9,160372,7.74,2578,14.38
"Warner Bros. Games, Warner Bros. Interactive Entertainment",6,14250000.0,89.2,315716,20.82,1026,14.25
Fulqrum Publishing,47,14100000.0,74.3,119044,10.98,711,14.1
SA Industry,32,13950000.0,66.1,29122,8.41,6,13.95
Stunlock Studios,4,13250000.0,83.3,188681,8.75,10961,13.25
Arc Games,8,13100000.0,76.9,86759,13.12,1057,13.1
Frontier Developments,9,13075000.0,77.3,309098,34.77,4845,13.08
PlayWay S.A.,20,12900000.0,82.4,221351,7.66,1343,12.9
Chubby Pixel,8,12750000.0,66.8,14513,0.66,7,12.75
Humble Games,22,12675000.0,86.0,209939,13.79,1328,12.68
Running With Scissors,5,12575000.0,87.0,146735,21.38,320,12.58
Playsaurus,5,12175000.0,83.7,161970,4.0,9583,12.18
New Blood Interactive,7,12025000.0,93.7,217983,18.74,3122,12.02
IO Interactive A/S,4,11900000.0,85.9,127090,4.69,2637,11.9
"Nicalis, Inc.",5,11775000.0,88.8,370025,9.99,14904,11.78
The Behemoth,4,11500000.0,93.8,206872,17.49,443,11.5
Sometimes You,27,11425000.0,63.1,9528,1.99,39,11.42
XD,12,11400000.0,81.7,152623,16.49,963,11.4
New Reality Games,24,11400000.0,56.2,8135,2.2,2,11.4
Frictional Games,8,11200000.0,83.5,116181,14.12,61,11.2
Unknown Worlds Entertainment,3,11150000.0,80.4,410648,19.99,2719,11.15
"Codemasters, Electronic Arts",16,11050000.0,77.0,160139,7.18,631,11.05
CI Games,12,10950000.0,67.2,143896,18.82,827,10.95
Gameforge 4D GmbH,6,10900000.0,72.6,47007,3.33,210,10.9
Topware Interactive,16,10800000.0,66.5,31106,9.86,157,10.8
Crystal Dynamics,18,10650000.0,78.9,84479,7.55,68,10.65
Frozenbyte,8,10650000.0,77.5,69532,4.22,76,10.65
Eidos Interactive Corp.,10,10550000.0,73.6,97524,12.69,219,10.55
Team17 Digital Ltd,22,10525000.0,77.3,76341,8.1,136,10.52
"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)",4,10100000.0,70.5,133142,8.62,2330,10.1
AMPLITUDE Studios,6,9850000.0,77.8,94768,14.91,411,9.85
HypeTrain Digital,20,9700000.0,86.2,113330,12.01,1543,9.7
NEXON,3,9350000.0,73.0,64419,36.66,1253,9.35
Avalanche Studios,3,9350000.0,74.3,225116,24.99,2207,9.35
Stardock Entertainment,18,9325000.0,76.3,57113,14.65,544,9.32
Double Fine Productions,12,9300000.0,81.5,75292,13.19,56,9.3
Io-Interactive A/S,4,9250000.0,89.2,77023,1.19,618,9.25
Fatshark,6,9150000.0,73.6,271531,4.74,7267,9.15
Skybound Games,7,9100000.0,92.3,197498,9.49,677,9.1
8Floor,12,9075000.0,73.5,80156,11.24,809,9.07
Giants Software,5,9000000.0,92.7,180749,14.79,5419,9.0
Little Orbit,2,9000000.0,61.5,44823,0.0,111,9.0
OP Productions LLC,2,9000000.0,47.8,59233,0.0,70,9.0
tobyfox,2,9000000.0,97.8,275767,13.74,83936,9.0
Hyper Hippo Games,4,8950000.0,72.0,66521,0.0,1109,8.95
"Spike Chunsoft Co., Ltd.",18,8950000.0,87.3,145177,29.43,198,8.95
Gamirror Games,12,8550000.0,84.5,182453,12.99,2703,8.55
Robot Entertainment,6,8500000.0,80.5,51771,14.16,201,8.5
Red Barrels,3,8500000.0,93.7,248134,24.99,3743,8.5
Ninja Kiwi,8,8450000.0,88.0,420060,3.0,7489,8.45
Hello Games,3,8400000.0,80.4,367973,29.99,12291,8.4
NEOWIZ,10,8300000.0,80.6,192822,23.79,1363,8.3
"Drinkbox Studios, Kepler Ghost",2,8250000.0,92.8,12683,3.74,5,8.25
Pearl Abyss,2,8250000.0,65.0,92403,0.5,14345,8.25
PLAYISM,29,8075000.0,88.1,88534,7.7,54,8.07
Relic Entertainment,4,8000000.0,84.5,91839,24.96,2183,8.0
Torn Banner Studios,2,7850000.0,65.1,81959,23.74,199,7.85
Gamepires,2,7850000.0,80.4,116114,34.99,8535,7.85
Microids,23,7775000.0,74.3,69255,12.06,44,7.78
